,time,mat1,mat2,width1,width2,thickness,operator
0,2021-06-01 08:03:12,2,2,155,155,22,Charlie
1,2021-06-01 08:08:57.523804126,0,1,120,140,15,Charlie
2,2021-06-01 08:14:21.375715485,0,0,125,145,12,Charlie
3,2021-06-01 08:19:14.446741769,2,2,135,145,25,Charlie
4,2021-06-01 08:24:56.042666232,1,2,175,155,28,Charlie
5,2021-06-01 08:30:42.012189258,0,0,175,175,18,Charlie
6,2021-06-01 08:35:35.834008056,1,2,175,150,25,Charlie
7,2021-06-01 08:41:15.233721378,2,2,145,145,15,Charlie
8,2021-06-01 08:47:33.963506146,2,2,160,185,15,Charlie
9,2021-06-01 08:53:40.264582588,1,2,100,100,25,Charlie
10,2021-06-01 08:59:14.846219824,1,2,200,220,18,Charlie
11,2021-06-01 09:05:30.891612185,2,2,165,165,25,David
12,2021-06-01 09:11:09.206991159,0,0,185,175,15,David
13,2021-06-01 09:15:58.861215434,2,2,165,150,18,David
14,2021-06-01 09:21:53.821355928,0,0,150,155,25,David
15,2021-06-01 09:26:16.148886572,0,0,145,135,22,David
16,2021-06-01 09:30:49.247993813,0,0,140,140,22,David
17,2021-06-01 09:35:30.965098499,1,2,145,145,18,David
18,2021-06-01 09:41:29.464242823,1,2,170,190,15,David
19,2021-06-01 09:47:29.959482380,2,2,215,215,18,David
20,2021-06-01 09:53:28.867507170,2,2,170,175,18,David
21,2021-06-01 09:59:25.882126359,1,2,115,105,15,David
22,2021-06-01 10:05:14.647161483,1,2,145,160,22,Charlie
23,2021-06-01 10:11:05.114822038,1,2,130,140,15,Charlie
24,2021-06-01 10:17:03.859454441,0,0,195,175,28,Charlie
25,2021-06-01 10:21:44.375277058,0,0,100,100,15,Charlie
26,2021-06-01 10:26:41.827511238,0,0,140,145,22,Charlie
27,2021-06-01 10:31:27.872920073,2,2,100,100,18,Charlie
28,2021-06-01 10:37:33.378565125,2,2,180,185,28,Charlie
29,2021-06-01 10:43:20.464192982,1,2,175,190,25,Charlie
30,2021-06-01 10:49:07.240784430,1,1,160,185,28,Charlie
31,2021-06-01 10:54:24.351954072,1,2,190,195,15,Charlie
32,2021-06-01 11:00:41.984100128,1,2,190,165,22,David
33,2021-06-01 11:06:38.372834180,0,0,110,110,15,David
34,2021-06-01 11:11:28.318872463,0,0,200,180,28,David
35,2021-06-01 11:15:59.189603596,0,0,165,175,18,David
36,2021-06-01 11:20:48.328896981,0,0,120,125,15,David
37,2021-06-01 11:25:37.195319744,0,0,145,125,18,David
38,2021-06-01 11:30:25.841736745,2,2,170,195,18,David
39,2021-06-01 11:36:19.647854084,0,0,150,160,15,David
40,2021-06-01 11:41:07.010904954,1,2,210,215,25,David
41,2021-06-01 11:46:54.214356908,1,2,115,120,25,David
42,2021-06-01 11:52:24.948515769,0,1,210,210,18,David
43,2021-06-01 11:57:55.885481468,0,0,115,125,25,David
44,2021-06-01 13:02:48.536327237,0,0,130,145,15,Charlie
45,2021-06-01 13:07:47.058116384,0,0,140,115,18,Charlie
46,2021-06-01 13:12:35.925577908,1,1,195,220,28,Charlie
47,2021-06-01 13:18:03.358630043,0,0,215,190,22,Charlie
48,2021-06-01 13:23:01.959018836,1,2,175,165,28,Charlie
49,2021-06-01 13:28:42.207804544,1,2,175,155,25,Charlie
50,2021-06-01 13:34:24.741201515,0,0,160,185,12,Charlie
51,2021-06-01 13:39:22.909308586,1,2,135,155,25,Charlie
52,2021-06-01 13:44:58.592481859,2,2,125,130,15,Charlie
53,2021-06-01 13:51:07.800694959,0,0,165,145,25,Charlie
54,2021-06-01 13:55:35.708713198,1,1,140,150,22,Charlie
55,2021-06-01 14:01:04.808400571,0,1,100,120,28,David
56,2021-06-01 14:06:01.301466200,0,0,170,145,18,David
57,2021-06-01 14:10:51.931235580,1,1,170,175,25,David
58,2021-06-01 14:16:14.625441700,2,2,210,205,25,David
59,2021-06-01 14:21:52.387704015,1,1,215,190,25,David
60,2021-06-01 14:27:08.302562137,0,1,185,195,22,David
61,2021-06-01 14:32:24.635223379,0,0,170,180,25,David
62,2021-06-01 14:36:47.766334011,0,0,110,115,12,David
63,2021-06-01 14:41:37.116240312,0,0,100,100,25,David
64,2021-06-01 14:46:03.653352120,0,2,135,155,25,David
65,2021-06-01 14:51:36.735217194,1,2,180,180,25,David
66,2021-06-01 14:57:23.110417463,1,2,140,130,15,David
67,2021-06-01 15:03:21.343940557,0,0,170,145,22,Charlie
68,2021-06-01 15:07:58.454321933,1,2,110,125,15,Charlie
69,2021-06-01 15:13:56.995424139,0,0,165,145,28,Charlie
70,2021-06-01 15:18:27.438826310,2,2,200,215,18,Charlie
71,2021-06-01 15:24:34.998970354,2,2,130,130,22,Charlie
72,2021-06-01 15:30:22.299786397,2,2,130,145,15,Charlie
73,2021-06-01 15:36:32.100665950,0,0,190,200,15,Charlie
74,2021-06-01 15:41:32.496284900,1,1,115,130,15,Charlie
75,2021-06-01 15:47:16.826777096,0,0,135,115,22,Charlie
76,2021-06-01 15:51:50.891732315,1,1,120,120,22,Charlie
77,2021-06-01 15:57:19.284847117,0,0,215,220,25,Charlie
78,2021-06-01 16:01:56.440948706,1,2,200,195,25,David
79,2021-06-01 16:07:37.069557275,0,0,120,125,22,David
80,2021-06-01 16:12:05.332161094,1,2,125,105,28,David
81,2021-06-01 16:17:38.387668033,1,2,185,185,22,David
82,2021-06-01 16:23:21.319268402,0,0,115,140,22,David
83,2021-06-01 16:27:47.741109549,0,1,100,115,15,David
84,2021-06-01 16:33:15.936642265,0,0,210,200,15,David
85,2021-06-01 16:38:00.500395858,1,1,205,195,22,David
86,2021-06-01 16:43:27.142991950,2,2,170,160,22,David
87,2021-06-01 16:49:10.039355308,0,0,175,155,25,David
88,2021-06-01 16:53:43.119133245,0,0,185,200,18,David
89,2021-06-01 16:58:28.598627825,2,2,125,130,18,David
90,2021-06-02 08:04:51.383027398,1,2,110,100,28,Eric
91,2021-06-02 08:09:50.904726707,0,0,105,105,15,Eric
92,2021-06-02 08:14:17.532081535,0,0,150,170,25,Eric
93,2021-06-02 08:18:35.691127336,0,1,215,220,18,Eric
94,2021-06-02 08:23:47.128662733,1,1,180,195,22,Eric
95,2021-06-02 08:28:49.185308982,0,1,165,160,22,Eric
96,2021-06-02 08:33:38.652776791,0,0,140,145,15,Eric
97,2021-06-02 08:38:07.998232594,0,0,150,135,22,Eric
98,2021-06-02 08:42:22.487811711,1,2,125,150,18,Eric
99,2021-06-02 08:47:51.562830717,0,0,185,175,22,Eric
100,2021-06-02 08:52:15.895837354,0,0,120,130,12,Eric
101,2021-06-02 08:56:42.574472953,1,1,185,160,28,Eric
102,2021-06-02 09:01:40.924771440,1,1,165,185,15,Geralt
103,2021-06-02 09:07:24.282565716,2,2,110,135,15,Geralt
104,2021-06-02 09:13:15.020194182,1,1,110,100,28,Geralt
105,2021-06-02 09:18:13.205078349,0,0,145,145,15,Geralt
106,2021-06-02 09:22:53.038636403,0,0,145,135,15,Geralt
107,2021-06-02 09:27:36.735823242,0,0,170,185,18,Geralt
108,2021-06-02 09:32:23.707644180,1,1,180,165,22,Geralt
109,2021-06-02 09:37:57.137496468,2,2,190,215,12,Geralt
110,2021-06-02 09:43:56.407584443,1,2,135,150,28,Geralt
111,2021-06-02 09:49:28.997917746,1,2,200,205,15,Geralt
112,2021-06-02 09:55:31.740821331,0,1,125,130,12,Geralt
113,2021-06-02 10:00:46.556639449,1,2,110,100,25,Eric
114,2021-06-02 10:06:02.233041855,1,2,155,130,12,Eric
115,2021-06-02 10:11:42.533655226,1,2,160,185,28,Eric
116,2021-06-02 10:17:01.323138699,2,2,100,100,18,Eric
117,2021-06-02 10:22:24.506422213,0,0,130,105,18,Eric
118,2021-06-02 10:26:36.320737884,2,2,180,190,15,Eric
119,2021-06-02 10:32:23.083480160,0,1,120,145,15,Eric
120,2021-06-02 10:37:27.296217853,1,1,100,100,15,Eric
121,2021-06-02 10:42:38.675497227,2,2,115,130,22,Eric
122,2021-06-02 10:47:46.320806056,2,2,155,155,18,Eric
123,2021-06-02 10:53:31.355628983,0,0,150,160,15,Eric
124,2021-06-02 10:57:55.033408792,1,2,155,180,25,Eric
125,2021-06-02 11:03:14.521535498,0,0,115,125,15,Geralt
126,2021-06-02 11:07:50.681820007,0,0,160,185,25,Geralt
127,2021-06-02 11:12:14.572790500,1,2,200,210,25,Geralt
128,2021-06-02 11:18:04.495258411,0,0,200,190,15,Geralt
129,2021-06-02 11:22:49.292363840,1,2,155,135,25,Geralt
130,2021-06-02 11:28:18.540930895,0,0,195,205,18,Geralt
131,2021-06-02 11:33:02.822259210,1,2,115,100,22,Geralt
132,2021-06-02 11:38:36.045016198,0,0,100,100,28,Geralt
133,2021-06-02 11:42:48.010003076,1,2,100,120,22,Geralt
134,2021-06-02 11:48:26.377040604,0,0,140,125,15,Geralt
135,2021-06-02 11:53:04.765303070,0,0,150,175,15,Geralt
136,2021-06-02 11:57:38.135172563,0,0,135,130,18,Geralt
137,2021-06-02 13:03:40.775947975,0,0,160,175,15,Eric
138,2021-06-02 13:08:06.652369576,0,0,210,205,18,Eric
139,2021-06-02 13:12:36.362713031,1,2,195,180,22,Eric
140,2021-06-02 13:18:10.815408123,2,2,210,220,18,Eric
141,2021-06-02 13:23:52.423857536,1,2,190,200,28,Erik
142,2021-06-02 13:29:16.891767922,1,2,125,105,25,Eric
143,2021-06-02 13:34:29.578067034,2,2,145,120,12,Eric
144,2021-06-02 13:40:03.672130731,1,2,155,175,18,Eric
145,2021-06-02 13:45:45.341738747,0,1,150,150,15,Eric
146,2021-06-02 13:50:51.734651876,0,0,185,160,28,Eric
147,2021-06-02 13:55:01.724416394,2,2,115,120,15,Eric
148,2021-06-02 14:00:35.793018699,0,1,110,110,12,Geralt
149,2021-06-02 14:05:53.105264554,2,2,185,190,15,Geralt
150,2021-06-02 14:11:50.997462392,0,1,140,125,22,Gerald
151,2021-06-02 14:17:01.101350742,1,2,175,195,18,Geralt
152,2021-06-02 14:22:56.920462314,0,1,170,185,22,Geralt
153,2021-06-02 14:28:09.157021728,0,0,180,185,15,Geralt
154,2021-06-02 14:32:49.356690568,0,0,115,110,25,Geralt
155,2021-06-02 14:37:11.418519157,1,2,140,120,12,Geralt
156,2021-06-02 14:43:04.391506146,1,2,155,165,15,Geralt
157,2021-06-02 14:49:03.556437548,0,0,170,180,18,Geralt
158,2021-06-02 14:53:43.850741613,1,2,100,125,28,Geralt
159,2021-06-02 14:59:01.552047522,0,0,170,170,28,Geralt
160,2021-06-02 15:03:28.303838075,0,1,135,125,18,Eric
161,2021-06-02 15:08:28.666201318,1,2,115,105,25,Eric
162,2021-06-02 15:13:40.035065790,1,1,160,150,15,Eric
163,2021-06-02 15:19:01.021603384,1,2,145,140,18,Eric
164,2021-06-02 15:24:33.646763898,2,2,130,135,15,Eric
165,2021-06-02 15:30:11.347723831,1,2,175,175,15,Eric
166,2021-06-02 15:36:03.771193533,0,0,120,135,22,Eric
167,2021-06-02 15:40:14.297135644,1,2,125,120,25,Eric
168,2021-06-02 15:45:31.035093385,1,1,120,100,12,Eric
169,2021-06-02 15:50:51.091335673,0,1,175,150,25,Eric
170,2021-06-02 15:55:41.554645267,2,2,100,110,22,Eric
171,2021-06-02 16:00:54.198708792,0,0,105,105,22,Geralt
172,2021-06-02 16:05:19.866922,0,2,115,130,28,Geralt
